Date,Open,High,Low,Close,AdjClose,Volume
08/02/2023,4153.47,4156.85,4111.67,4117.86,4117.86,4029820000
09/02/2023,4144.25,4156.23,4069.67,4081.5,4081.5,4270200000
10/02/2023,4068.92,4094.36,4060.79,4090.46,4090.46,3891520000
13/02/2023,4096.62,4138.9,4092.67,4137.29,4137.29,3448620000
14/02/2023,4126.7,4159.77,4095.01,4136.13,4136.13,3929200000
15/02/2023,4119.5,4148.11,4103.98,4147.6,4147.6,4075980000
16/02/2023,4114.75,4136.54,4089.49,4090.41,4090.41,4143660000
17/02/2023,4077.39,4081.51,4047.95,4079.09,4079.09,4045480000
21/02/2023,4052.35,4052.35,3995.19,3997.34,3997.34,4121590000
22/02/2023,4001.83,4017.37,3976.9,3991.05,3991.05,4079320000
23/02/2023,4018.6,4028.3,3969.19,4012.32,4012.32,3952940000
24/02/2023,3973.24,3978.25,3943.08,3970.04,3970.04,3877700000
27/02/2023,3992.36,4018.05,3973.55,3982.24,3982.24,3836950000
28/02/2023,3977.19,3997.5,3968.98,3970.15,3970.15,5043400000
01/03/2023,3963.34,3971.73,3939.05,3951.39,3951.39,4249480000
02/03/2023,3938.68,3990.84,3928.16,3981.35,3981.35,4244900000
03/03/2023,3998.02,4048.29,3995.17,4045.64,4045.64,4084730000
06/03/2023,4055.15,4078.49,4044.61,4048.42,4048.42,4000870000
07/03/2023,4048.26,4050,3980.31,3986.37,3986.37,3922500000
08/03/2023,3987.55,4000.41,3969.76,3992.01,3992.01,3535570000
09/03/2023,3998.66,4017.81,3908.7,3918.32,3918.32,4445260000
10/03/2023,3912.77,3934.05,3846.32,3861.59,3861.59,5518190000
13/03/2023,3835.12,3905.05,3808.86,3855.76,3855.76,6558020000
14/03/2023,3894.01,3937.29,3873.63,3919.29,3919.29,5665870000
15/03/2023,3876.74,3894.26,3838.24,3891.93,3891.93,6594010000
16/03/2023,3878.93,3964.46,3864.11,3960.28,3960.28,5695790000
17/03/2023,3958.69,3958.91,3901.27,3916.64,3916.64,9354280000
20/03/2023,3917.47,3956.62,3916.89,3951.57,3951.57,5347140000
21/03/2023,3975.89,4009.08,3971.19,4002.87,4002.87,4920240000
22/03/2023,4002.04,4039.49,3936.17,3936.97,3936.97,4533010000
23/03/2023,3959.21,4007.66,3919.05,3948.72,3948.72,4991600000
24/03/2023,3939.21,3972.74,3909.16,3970.99,3970.99,4583970000
27/03/2023,3982.93,4003.83,3970.49,3977.53,3977.53,4233540000
28/03/2023,3974.13,3979.2,3951.53,3971.27,3971.27,4014600000
29/03/2023,3999.53,4030.59,3999.53,4027.81,4027.81,4145250000
30/03/2023,4046.74,4057.85,4032.1,4050.83,4050.83,3930860000
31/03/2023,4056.18,4110.75,4056.18,4109.31,4109.31,4525120000
03/04/2023,4102.2,4127.66,4098.79,4124.51,4124.51,4234700000
04/04/2023,4128.03,4133.13,4086.87,4100.6,4100.6,4227800000
05/04/2023,4094.5,4099.69,4072.56,4090.38,4090.38,3968020000
06/04/2023,4081.15,4107.32,4069.84,4105.02,4105.02,3486690000
10/04/2023,4085.2,4109.5,4072.55,4109.11,4109.11,3423650000
11/04/2023,4110.29,4124.26,4102.61,4108.94,4108.94,3665830000
12/04/2023,4121.72,4134.37,4086.94,4091.95,4091.95,3633120000
13/04/2023,4100.04,4150.26,4099.4,4146.22,4146.22,3596590000
14/04/2023,4140.11,4163.19,4113.2,4137.64,4137.64,3575690000
17/04/2023,4137.17,4151.72,4123.18,4151.32,4151.32,3611180000
18/04/2023,4164.26,4169.48,4140.36,4154.87,4154.87,3536640000
19/04/2023,4139.33,4162.57,4134.49,4154.52,4154.52,3572560000
20/04/2023,4130.48,4148.57,4114.57,4129.79,4129.79,3772080000
21/04/2023,4132.14,4138.02,4113.86,4133.52,4133.52,3611750000
24/04/2023,4132.07,4142.41,4117.77,4137.04,4137.04,3290940000
25/04/2023,4126.43,4126.43,4071.38,4071.63,4071.63,3978640000
26/04/2023,4087.78,4089.67,4049.35,4055.99,4055.99,3837030000
27/04/2023,4075.29,4138.24,4075.29,4135.35,4135.35,3750550000
28/04/2023,4129.63,4170.06,4127.18,4169.48,4169.48,4087800000
01/05/2023,4166.79,4186.92,4164.12,4167.87,4167.87,3321370000
02/05/2023,4164.1,4164.1,4089.72,4119.58,4119.58,4486130000
03/05/2023,4122.25,4148.3,4088.86,4090.75,4090.75,4246510000
04/05/2023,4082.55,4082.61,4048.28,4061.22,4061.22,4920090000
05/05/2023,4084.73,4147.02,4084.73,4136.25,4136.25,4186270000
08/05/2023,4136.98,4142.3,4123.81,4138.12,4138.12,3641640000
09/05/2023,4124.25,4130.35,4116.65,4119.17,4119.17,3810140000
10/05/2023,4143.74,4154.28,4098.92,4137.64,4137.64,4057160000
11/05/2023,4132.24,4132.8,4109.29,4130.62,4130.62,3752900000
12/05/2023,4138.54,4143.74,4099.12,4124.08,4124.08,3533740000
15/05/2023,4126.65,4141.25,4110.27,4136.28,4136.28,3562170000
16/05/2023,4127.95,4135.54,4109.86,4109.9,4109.9,3654200000
17/05/2023,4122.85,4164.67,4113.62,4158.77,4158.77,4039080000
18/05/2023,4157.68,4202.2,4153.5,4198.05,4198.05,3980500000
19/05/2023,4204.15,4212.91,4180.2,4191.98,4191.98,4041900000
22/05/2023,4190.78,4209.22,4179.68,4192.63,4192.63,3728520000
23/05/2023,4176.8,4185.68,4142.54,4145.58,4145.58,4155320000
24/05/2023,4132.96,4132.96,4103.98,4115.24,4115.24,3739160000
25/05/2023,4155.71,4165.74,4129.73,4151.28,4151.28,4147760000
26/05/2023,4156.16,4212.87,4156.16,4205.45,4205.45,3715460000
30/05/2023,4226.71,4231.1,4192.18,4205.52,4205.52,4228510000
